bucket,label,clip,path,width,height,codec,nb_frames,duration_s,real_fps,container_r_frame_rate
FlasePositives,negative,FP_Ch42_1_2026-08-05_125822.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch42_1_2026-08-05_125822.mp4,1360,768,h264,24974,1664.58,15.003,300/1
FlasePositives,negative,FP_Ch42_1_2026-08-05_154423.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch42_1_2026-08-05_154423.mp4,1360,768,h264,16686,1112.283,15.002,300/1
FlasePositives,negative,FP_Ch42_1_2026-08-06_060004.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch42_1_2026-08-06_060004.mp4,1360,768,h264,12434,828.713,15.004,300/1
FlasePositives,negative,FP_Ch47_2_2026-08-06_071016.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch47_2_2026-08-06_071016.mp4,1360,768,h264,20926,1395.14,14.999,300/1
FlasePositives,negative,FP_Ch48_1_2026-08-05_031559.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch48_1_2026-08-05_031559.mp4,1360,768,h264,12395,826.313,15.0,300/1
FlasePositives,negative,FP_Ch48_1_2026-08-05_065539.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch48_1_2026-08-05_065539.mp4,1360,768,h264,12409,827.063,15.004,300/1
FlasePositives,negative,FP_Ch55_1_2026-08-04_175304.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch55_1_2026-08-04_175304.mp4,1360,768,h264,20770,1384.36,15.003,300/1
FlasePositives,negative,FP_Ch56_1_2026-08-05_181000.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch56_1_2026-08-05_181000.mp4,1360,768,h264,12475,831.653,15.0,300/1
FlasePositives,negative,FP_Ch58_1_2026-08-04_190523.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch58_1_2026-08-04_190523.mp4,1360,768,h264,12606,840.227,15.003,300/1
FlasePositives,negative,FP_Ch58_2_2026-08-05_144652.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch58_2_2026-08-05_144652.mp4,1280,720,hevc,12480,1247.773,10.002,300/1
FlasePositives,negative,FP_Ch58_2_2026-08-05_191724.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch58_2_2026-08-05_191724.mp4,1280,720,hevc,8279,827.73,10.002,300/1
FlasePositives,negative,FP_Ch58_2_2026-08-06_014952.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch58_2_2026-08-06_014952.mp4,1280,720,hevc,12390,1238.813,10.002,300/1
FlasePositives,negative,FP_Ch58_2_2026-08-06_060559.mp4,all_video_data/FlasePositives/MergedExtracted/FP_Ch58_2_2026-08-06_060559.mp4,1280,720,hevc,12381,1238.027,10.001,300/1
NVR_manual_records,unlabeled,HB_Ch41_1_2026-08-19_075208.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch41_1_2026-08-19_075208.mp4,1360,768,h264,16760,830.407,20.183,300/1
NVR_manual_records,unlabeled,HB_Ch41_1_2026-08-19_174544.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch41_1_2026-08-19_174544.mp4,1360,768,h264,16698,834.19,20.017,300/1
NVR_manual_records,unlabeled,HB_Ch42_1_2026-08-18_150602.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch42_1_2026-08-18_150602.mp4,1360,768,h264,8247,415.323,19.857,300/1
NVR_manual_records,unlabeled,HB_Ch42_1_2026-08-19_041600.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch42_1_2026-08-19_041600.mp4,1360,768,h264,8276,410.22,20.175,300/1
NVR_manual_records,unlabeled,HB_Ch42_1_2026-08-19_060607.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch42_1_2026-08-19_060607.mp4,1360,768,h264,8234,415.227,19.83,300/1
NVR_manual_records,unlabeled,HB_Ch42_1_2026-08-19_061802.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch42_1_2026-08-19_061802.mp4,1360,768,h264,8456,421.363,20.068,300/1
NVR_manual_records,unlabeled,HB_Ch42_1_2026-08-19_072502.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch42_1_2026-08-19_072502.mp4,1360,768,h264,12659,634.533,19.95,300/1
NVR_manual_records,unlabeled,HB_Ch43_1_2026-08-19_013834.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch43_1_2026-08-19_013834.mp4,1360,768,h264,12607,525.177,24.005,300/1
NVR_manual_records,unlabeled,HB_Ch43_1_2026-08-19_053029.mp4,all_video_data/NVR_manual_records/MergedExtracted/HB_Ch43_1_2026-08-19_053029.mp4,1360,768,h264,8288,345.247,24.006,300/1
