clip,bucket,label_original,n_windows_scored,max_score,reason
FP_Ch42_1_2026-08-05_125822.mp4,FlasePositives,negative,4,0.0035,max_score 0.004 < threshold 0.2
FP_Ch42_1_2026-08-05_154423.mp4,FlasePositives,negative,4,0.0052,max_score 0.005 < threshold 0.2
FP_Ch42_1_2026-08-06_060004.mp4,FlasePositives,negative,4,0.0018,max_score 0.002 < threshold 0.2
FP_Ch47_2_2026-08-06_071016.mp4,FlasePositives,negative,4,0.0182,max_score 0.018 < threshold 0.2
FP_Ch48_1_2026-08-05_065539.mp4,FlasePositives,negative,4,0.0034,max_score 0.003 < threshold 0.2
FP_Ch55_1_2026-08-04_175304.mp4,FlasePositives,negative,4,0.0002,max_score 0.000 < threshold 0.2
FP_Ch56_1_2026-08-05_181000.mp4,FlasePositives,negative,4,0.0097,max_score 0.010 < threshold 0.2
FP_Ch58_1_2026-08-04_190523.mp4,FlasePositives,negative,4,0.0068,max_score 0.007 < threshold 0.2
FP_Ch58_2_2026-08-05_144652.mp4,FlasePositives,negative,4,0.0194,max_score 0.019 < threshold 0.2
FP_Ch58_2_2026-08-06_014952.mp4,FlasePositives,negative,4,0.0347,max_score 0.035 < threshold 0.2
FP_Ch58_2_2026-08-06_060559.mp4,FlasePositives,negative,4,0.1342,max_score 0.134 < threshold 0.2
HB_Ch41_1_2026-08-19_075208.mp4,NVR_manual_records,unlabeled,3,0.0333,max_score 0.033 < threshold 0.2
HB_Ch41_1_2026-08-19_174544.mp4,NVR_manual_records,unlabeled,3,0.0024,max_score 0.002 < threshold 0.2
HB_Ch42_1_2026-08-18_150602.mp4,NVR_manual_records,unlabeled,3,0.0244,max_score 0.024 < threshold 0.2
HB_Ch42_1_2026-08-19_041600.mp4,NVR_manual_records,unlabeled,3,0.0101,max_score 0.010 < threshold 0.2
HB_Ch42_1_2026-08-19_060607.mp4,NVR_manual_records,unlabeled,3,0.0033,max_score 0.003 < threshold 0.2
HB_Ch42_1_2026-08-19_061802.mp4,NVR_manual_records,unlabeled,3,0.0084,max_score 0.008 < threshold 0.2
HB_Ch42_1_2026-08-19_072502.mp4,NVR_manual_records,unlabeled,3,0.001,max_score 0.001 < threshold 0.2
HB_Ch43_1_2026-08-19_013834.mp4,NVR_manual_records,unlabeled,3,0.0011,max_score 0.001 < threshold 0.2
HB_Ch43_1_2026-08-19_053029.mp4,NVR_manual_records,unlabeled,3,0.1439,max_score 0.144 < threshold 0.2
HB_Ch44_1_2026-08-19_182130.mp4,NVR_manual_records,unlabeled,3,0.0022,max_score 0.002 < threshold 0.2
HB_Ch46_1_2026-08-19_040530.mp4,NVR_manual_records,unlabeled,3,0.0141,max_score 0.014 < threshold 0.2
HB_Ch46_1_2026-08-19_175148.mp4,NVR_manual_records,unlabeled,3,0.0023,max_score 0.002 < threshold 0.2
HB_Ch52.1_2026-08-19_005052.mp4,NVR_manual_records,unlabeled,3,0.0001,max_score 0.000 < threshold 0.2
HB_Ch52.1_2026-08-19_054742.mp4,NVR_manual_records,unlabeled,3,0.0007,max_score 0.001 < threshold 0.2
HB_Ch54.1_2026-08-19_200010.mp4,NVR_manual_records,unlabeled,3,0.0089,max_score 0.009 < threshold 0.2
HB_Ch55_2_2026-08-19_025230.mp4,NVR_manual_records,unlabeled,3,0.0005,max_score 0.001 < threshold 0.2
HB_Ch56_2_2026-08-19_040112.mp4,NVR_manual_records,unlabeled,3,0.0064,max_score 0.006 < threshold 0.2
HB_Ch56_2_2026-08-19_175200.mp4,NVR_manual_records,unlabeled,3,0.0013,max_score 0.001 < threshold 0.2
HB_Ch57_2_2026-08-18_033629.mp4,NVR_manual_records,unlabeled,3,0.0053,max_score 0.005 < threshold 0.2
HB_Ch61.1_2026-08-19_084700.mp4,NVR_manual_records,unlabeled,3,0.0045,max_score 0.005 < threshold 0.2
HB_Ch66.2_2026-08-19_113057.mp4,NVR_manual_records,unlabeled,3,0.0427,max_score 0.043 < threshold 0.2
HB_Ch68.2_2026-08-19_061000.mp4,NVR_manual_records,unlabeled,3,0.0055,max_score 0.005 < threshold 0.2
HB_Ch70.1_2026-08-19_030559.mp4,NVR_manual_records,unlabeled,3,0.0056,max_score 0.006 < threshold 0.2
HB_Ch70.1_2026-08-19_141343.mp4,NVR_manual_records,unlabeled,3,0.0007,max_score 0.001 < threshold 0.2
TP_Ch44_1_2026-08-06_065511.mp4,TrueFalls,positive,3,0.0002,max_score 0.000 < threshold 0.2
