clip,bucket,duration_s,n_windows_scored,max_score,argmax_t,n_windows_above_threshold,detected,outcome
FP_Ch42_1_2026-08-05_125822.mp4,FlasePositives,1664.6,832,0.0979,325.0,0,False,FP_SUPPRESSED
FP_Ch42_1_2026-08-05_154423.mp4,FlasePositives,1112.3,556,0.0565,339.0,0,False,FP_SUPPRESSED
FP_Ch42_1_2026-08-06_060004.mp4,FlasePositives,828.7,414,0.0579,535.0,0,False,FP_SUPPRESSED
FP_Ch47_2_2026-08-06_071016.mp4,FlasePositives,1395.1,697,0.0438,969.0,0,False,FP_SUPPRESSED
FP_Ch48_1_2026-08-05_031559.mp4,FlasePositives,826.3,413,0.3268,555.0,1,True,FP_SURVIVED
FP_Ch48_1_2026-08-05_065539.mp4,FlasePositives,827.1,413,0.0358,469.0,0,False,FP_SUPPRESSED
FP_Ch55_1_2026-08-04_175304.mp4,FlasePositives,1384.4,692,0.0013,223.0,0,False,FP_SUPPRESSED
FP_Ch56_1_2026-08-05_181000.mp4,FlasePositives,831.7,415,0.9588,133.0,7,True,FP_SURVIVED
FP_Ch58_1_2026-08-04_190523.mp4,FlasePositives,840.2,420,0.4849,683.0,2,True,FP_SURVIVED
FP_Ch58_2_2026-08-05_144652.mp4,FlasePositives,1247.8,623,0.1716,181.0,0,False,FP_SUPPRESSED
FP_Ch58_2_2026-08-05_191724.mp4,FlasePositives,827.7,413,0.9825,51.0,20,True,FP_SURVIVED
FP_Ch58_2_2026-08-06_014952.mp4,FlasePositives,1238.8,619,0.7909,1211.0,3,True,FP_SURVIVED
FP_Ch58_2_2026-08-06_060559.mp4,FlasePositives,1238.0,619,0.5785,25.0,4,True,FP_SURVIVED
TP_Ch53_1_2026-08-26_123330.mp4,NewTPRecords,437.2,218,0.8529,207.0,19,True,TP_DETECT
TP_Ch53_1_2026-08-26_124000.mp4,NewTPRecords,457.2,228,0.9757,251.0,43,True,TP_DETECT
TP_Ch53_2_2026-08-26_123330.mp4,NewTPRecords,351.1,175,0.4535,163.0,9,True,TP_DETECT
TP_Ch53_2_2026-08-26_124000.mp4,NewTPRecords,541.4,270,0.8989,213.0,11,True,TP_DETECT
TP_Ch44_1_2026-08-06_065511.mp4,TrueFalls,1113.4,556,0.0064,411.0,0,False,TP_MISS
