clip,bucket,duration_s,n_windows_scored,n_windows_lighting_guarded,max_score,argmax_t,n_windows_above_threshold,detected,outcome
FP_Ch48_1_2026-08-05_031559.mp4,FlasePositives,826.3,413,0,0.3268,555.0,1,True,FP_SURVIVED
FP_Ch56_1_2026-08-05_181000.mp4,FlasePositives,831.7,415,5,0.9588,133.0,7,True,FP_SURVIVED
FP_Ch58_1_2026-08-04_190523.mp4,FlasePositives,840.2,420,10,0.1774,191.0,0,False,FP_SUPPRESSED
FP_Ch58_2_2026-08-05_191724.mp4,FlasePositives,827.7,413,42,0.5295,249.0,11,True,FP_SURVIVED
FP_Ch58_2_2026-08-06_014952.mp4,FlasePositives,1238.8,619,15,0.1852,535.0,0,False,FP_SUPPRESSED
FP_Ch58_2_2026-08-06_060559.mp4,FlasePositives,1238.0,619,0,0.5785,25.0,4,True,FP_SURVIVED
TP_Ch53_1_2026-08-26_123330.mp4,NewTPRecords,437.2,218,0,0.8529,207.0,19,True,TP_DETECT
TP_Ch53_1_2026-08-26_124000.mp4,NewTPRecords,457.2,228,0,0.9757,251.0,43,True,TP_DETECT
TP_Ch53_2_2026-08-26_123330.mp4,NewTPRecords,351.1,175,0,0.4535,163.0,9,True,TP_DETECT
TP_Ch53_2_2026-08-26_124000.mp4,NewTPRecords,541.4,270,0,0.8989,213.0,11,True,TP_DETECT
TP_Ch44_1_2026-08-06_065511.mp4,TrueFalls,1113.4,556,0,0.0064,411.0,0,False,TP_MISS
